Project Number,Project Name,Supplier Name,Purchasing Contract Record Series,Award Date,Termination Date,Estimated Project Completion,Project Completion
150134-TF,Environmental Testing Services Pedestrian Bridge: Main St to Symphony Park,Kleinfelder Inc.,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,02/19/2015,,02/28/2016
150053-TB,PDSC for WPCF Facility Plan 2014,Black & Veatch Corporation,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,02/25/2015,,03/31/2019
150122-JL,Live Internet Video Streaming Service,Livestream LLC,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,02/25/2015,,02/28/2019
140201-RH-A,EDDI MSA-IPSS Software Integration Project,Infor (US) Inc.,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,02/26/2015,,02/26/2020
140201-RH-B,EDDI MSA-IPSS Software Integration Project,"Sierra-Cedar, Inc.",CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,02/26/2015,,02/26/2020
140201-RH-C,EDDI MSA-IPSS Software Integration Project,TruePoint Solutions,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,02/26/2015,05/10/2016,
140201-RH-D,EDDI MSA-IPSS Software Integration Project,"3Di, Inc.",CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,02/26/2015,,02/26/2020
140201-RH-E,EDDI MSA-IPSS Software Integration Project,"Bentley, Inc.",CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,02/26/2015,,02/26/2020
150138-CB,Executive Recruitment for Deputy Fire Chief,Cooperative Personnel Services dba CPS HR Consulting,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,02/26/2015,,
150072-CW,Payment Processing Kiosk Trial,EZ Card & Kiosk Inc.,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,03/02/2015,,
150156-CB,Myresearcher.com Web Portal,"Myresearcher.com, LLC",CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,03/02/2015,,
14.54955-JH,City Center Garage Lighting Replacement,West Edna Associates DBA Mojave Electric,BID FILES,,03/05/2015,,
14.54955-JH,City Center Garage Lighting Replacement,West Edna Associates DBA Mojave Electric,CONTRACTS AND AGREEMENTS - CAPITAL IMPROVEMENT,,03/05/2015,,
150129-DC,Main Street Improvements Partnering Facilitation Services Agreement,Total Quality Resources,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,03/05/2015,,03/05/2020
150132-DC,Oakey Meadows Storm Drain Phase III Partnering Facilitation Services,Total Quality Resources,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,03/05/2015,,03/05/2020
150131-CB,Consulting Services for Comprehensive Annual Financial Report Software Implementation,Gray PCA Consulting PC,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,03/09/2015,,12/31/2017
140203-JH,Cimarron Pedestrian Bridge at Summerlin Parkway,Poggemeyer Design Group Inc.,BID FILES,,03/11/2015,,03/11/2019
140203-JH,Cimarron Pedestrian Bridge at Summerlin Parkway,Poggemeyer Design Group Inc.,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,03/11/2015,,03/11/2019
140203-JH,Cimarron Pedestrian Bridge at Summerlin Parkway,Poggemeyer Design Group Inc.,BID FILES,,03/11/2015,,03/11/2019
150136-TF,Jail Consolidation  Analysis,Kirchoff & Associates,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,03/11/2015,,07/30/2015
150137-CB,Professional Services for the Soil and Groundwater Plan at Symphony Park,Converse Consultants,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,03/12/2015,,
14.53541.03-TB,14.53541.03,"Jaramillo Landscape & Maintenance, LLC",CONTRACTS AND AGREEMENTS - CAPITAL IMPROVEMENT,,03/16/2015,,
14.53541.03-TB,14.53541.03,"Jaramillo Landscape & Maintenance, LLC",BID FILES,,03/16/2015,,
150070-TG,Sewer Rodder Parts,Arizona Wastewater Industries,BID FILES,,03/16/2015,,03/16/2020
150070-TG,Sewer Rodder Parts,Arizona Wastewater Industries,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,03/16/2015,,03/16/2020
150139-RF,Purchase Contract for Go-4 Scooters,H & E Equipment Services Inc.,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,03/17/2015,,
150148-GL,Speaker Engagement Agreement for Audiences Everywhere Workshop,Audience Avenue,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,03/17/2015,,
150133-TF,BSA for Constructability Review Services,C.A. Group,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,03/23/2015,,03/01/2019
150160-GL,Speaker Engagement - The Trust Edge Seminar,Horsager Leadership,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,03/23/2015,,
150103-TB,"PDSC for WPCF Concrete Rehabilitation at Plant 3 & 4, Filtration and Nitrification","Carollo Engineers, Inc.",CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,03/24/2015,,03/24/2019
14.26844-DC-B,CMAR Oakey Meadows Storm Drain Phase 3,Meadow Valley Contractors,CONTRACTS AND AGREEMENTS - CAPITAL IMPROVEMENT,,03/26/2015,,03/26/2017
150157-JL,Online Legal Research Software,Thonpson Reuters,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,03/26/2015,,
150121-DD,Amusement Park Rides,"Davis A,musement Cascadia",CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,03/31/2015,,
170068-DG,Lenovo Computers,"Lenovo (United States), Inc.",CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,04/01/2015,,
140099-RH,Website Redesign Services,"3Di, Inc.",CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,04/02/2015,,
140099-RH,Website Redesign Services,"3Di, Inc.",BID FILES,,04/02/2015,,
150140-RH,"U.S. Communities Oracle Products, Services, and Solutions MUA","DLT Solutions, LLC",CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,04/02/2015,,12/31/2017
150147-CB,Background Screening Services,"Background Profiles, Inc.",CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,04/02/2015,,03/31/2019
150151-DC,PDSC for LV Boulevard Improvements Stewart to Sahara Part II,"C A Group, Inc.",CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,04/02/2015,,04/02/2019
110099-SK-B,"Fire Extinguisher Inspection, Services and Sales",Certified Fire Protection,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,04/07/2015,,
14.53541.04-TB,Final Treatment Building Expansion,"Sletten Construction of Nevada, Inc.",CONTRACTS AND AGREEMENTS - CAPITAL IMPROVEMENT,,04/07/2015,,10/31/2018
14.53541.04-TB,Final Treatment Building Expansion,"Sletten Construction of Nevada, Inc.",BID FILES,,04/07/2015,,10/31/2018
140101-RH,RFP SIEM Solutions,NTT Security (US),CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,04/07/2015,,04/07/2021
140101-RH,RFP SIEM Solutions,"Solutionary, Inc.",BID FILES,,04/07/2015,,04/07/2021
140101-RH,RFP SIEM Solutions,"Solutionary, Inc.",BID FILES,,04/07/2015,,04/07/2021
15.1762.01-JH,2015 Annual Slurry Seal,American Pavement Preservation LLC,BID FILES,,04/07/2015,,11/30/2019
15.1762.01-JH,2015 Annual Slurry Seal,American Pavement Preservation LLC,CONTRACTS AND AGREEMENTS - CAPITAL IMPROVEMENT,,04/07/2015,,11/30/2019
150039-CW,Artistic Benches for Main Street Project,Actual Size Artworks LLC,BID FILES,,04/07/2015,,06/30/2018
150039-CW,Artistic Benches for Main Street Project,Actual Size Artworks LLC,BID FILES,,04/07/2015,,06/30/2018
150039-CW,Artistic Benches for Main Street Project,Actual Size Artworks LLC,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,04/07/2015,,06/30/2018
150098-TB,WPCF Stress Testing and Effluent Dechlorination Improvements,"HDR Engineering, Inc.",CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,04/07/2015,,04/30/2019
150154-DC,Material Testing and Special Inspections Agreement for Oakey Meadows Storm Drain Phase III,Aztech Inspections & Testing,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,04/07/2015,,
170089-DC,CMAA Bomo Force Main -Phase Two,Actual Size Artworks LLC,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,04/07/2015,,06/30/2022
15.53541.01-TB,WPCF Sludge Holding Tank Valves,"MMC, Inc.",BID FILES,,04/09/2015,,10/06/2015
15.53541.01-TB,WPCF Sludge Holding Tank Valves,"MMC, Inc.",CONTRACTS AND AGREEMENTS - CAPITAL IMPROVEMENT,,04/09/2015,,10/06/2015
150202-DD,Amusement Park Rides,"Davis Amusement Cascadia, Inc",CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,04/15/2015,,
150109-SK,Envirex Water Treatment Products,Evoqua Water Technologies,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,04/16/2015,,07/30/2020
150172-TG,Waterborne Traffic Paint Mutual Use Contract,Ennis Paint Inc,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,04/16/2015,,10/30/2019
150118-TG,Lamps and Bulbs,Wesco Distribution,BID FILES,,04/20/2015,,04/20/2020
150118-TG,Lamps and Bulbs,Wesco Distribution,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,04/20/2015,,04/20/2020
15.1762.02-JH,2015 Annual Asphalt Overlay,Las Vegas Paving Corp,BID FILES,,04/28/2015,,11/30/2019
15.1762.02-JH,2015 Annual Asphalt Overlay,Las Vegas Paving Corp,CONTRACTS AND AGREEMENTS - CAPITAL IMPROVEMENT,,04/28/2015,,11/30/2019
150162-JL,I Spring Software,"iSpring Solutions, Inc",CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,04/28/2015,,04/30/2019
150166-JL,Flowlink Software,"Teledyne Isco, a business unit of Teledyne Instruments, Incq",CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,04/29/2015,,04/30/2019
150174-JL,Micromod Configuration Software,Micromod Automation Inc,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,04/29/2015,,04/30/2019
150176-JL,HASS Fire Protection Software,HRS Systems Inc,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,04/29/2015,,05/16/2020
150002-TF,Inmate Medical Services,Correct Care Solutions,BID FILES,,05/04/2015,,05/30/2021
150002-TF,Inmate Medical Services,Correct Care Solutions,BID FILES,,05/04/2015,,05/30/2021
150002-TF,Inmate Medical Services,Correct Care Solutions,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,05/04/2015,,05/30/2021
150183-RH,WSCA - Cisco Data Communications Joinder,Dyntek,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,05/04/2015,,
150167-SK,WPCF CSI Software Training,Caltrol Inc.,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,05/05/2015,,11/05/2020
150175-CB,Professional Services for City of Las Vegas Economic Development Marketing Initiative,"FFM, LLC DBA Faiss Foley Warren",CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,05/06/2015,,06/30/2017
150114-CB,RFP for Non-Consent Towing Services,"Ewing Bros., Inc. DBA Ewing Bros. Auto Body",CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,05/07/2015,,04/30/2021
150114-CB,RFP for Non-Consent Towing Services,"Ewing Bros., Inc. DBA Ewing Bros. Auto Body",BID FILES,,05/07/2015,,04/30/2021
150146-SK,MUC for CCWRD Bid for Ferric Chloride,"Kemira Water Solutions, Inc.",CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,05/07/2015,,08/01/2019
150159-CB,Development of an Emergency Medical Services Field Coordination Examination,"Industrial/Organizational Solutions, Inc.",CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,05/07/2015,,
150179-RH,TIPS Pro Plus Kiosk Software Solutions,Dynatouch Informed Technologies,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,05/07/2015,,05/06/2019
140181-DG-B,"Fire Sprinkler System Testing, Inspection and Repair",StateFire DC Specialties,CANCELLED SOLICITATION FILES,,05/11/2015,04/06/2016,
150108-JH,BSA General & Civil Engineering Services,Slater Hanifan Group Inc.,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,05/11/2015,,01/31/2019
150161-RF,Mutual Use Contract for Ditch Witch Vac System,Charles Machine Works Inc,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,05/11/2015,,
140181-DG,"Fire Alarm and Fire Sprinkler System Testing, Inspection and Repair","NextGen Fire Protection, LLC and Ace Fire",BID FILES,,05/12/2015,,
140181-DG-A,"Fire Alarm and Fire Sprinkler System Testing, Inspection and Repair","NextGen Fire Protection, LLC",CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,05/12/2015,,
150092-CB,RFP for Accident Investigation Services,Carl Warren & Company,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,05/12/2015,,04/30/2021
150092-CB,RFP for Accident Investigation Services,Carl Warren & Company,BID FILES,,05/12/2015,,04/30/2021
150165-JL,DSC Kiosks,Dustshield LLC DBA Phoenix Kiosk,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,05/13/2015,,
150001-SK,RFP NIPA Water Treatment Polymers,BASF Corporation,BID FILES,,05/14/2015,,05/30/2021
150001-SK,RFP NIPA Water Treatment Polymers,BASF Corporation,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,05/14/2015,,05/30/2021
150144-JH,Right of Way Services for Grand Central Industrial Connector,"Overland, Pacific & Cutler, Inc.",CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,05/14/2015,,12/31/2017
150150-TF,PSA for Year 6 of the Small Diameter Pipeline Assessment Program: 15 Year Cycle,Brown and Caldwell,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,05/14/2015,,05/01/2020
13.15341.02-TF,Douglas Selby Park & Trailhead Phase 2,Richardson Construction. Inc.,BID FILES,,05/15/2015,,
13.15341.02-TF,Douglas Selby Park & Trailhead Phase 2,Richardson Construction. Inc.,CONTRACTS AND AGREEMENTS - CAPITAL IMPROVEMENT,,05/15/2015,,
14.54005-DC,Raptor to Thunderbird Sidewalk Infill,"Richardson Construction, Inc.",CONTRACTS AND AGREEMENTS - CAPITAL IMPROVEMENT,,05/18/2015,,05/18/2017
14.54005-DC,Raptor to Thunderbird Sidewalk Infill,"Richardson Construction, Inc.",CONTRACTS AND AGREEMENTS - CAPITAL IMPROVEMENT,,05/18/2015,,05/18/2017
150155-CB,IonWave eSourcing System,"IonWave Technologies, Inc.",CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,05/18/2015,,06/30/2020
15.45398-TF,Shaumber Road Realignment,Las Vegas Paving Corp,BID FILES,,05/20/2015,,
15.45398-TF,Shaumber Road Realignment,Las Vegas Paving Corp,CONTRACTS AND AGREEMENTS - CAPITAL IMPROVEMENT,,05/20/2015,,
150192-CB,Onsite Training Services for RTA Fleet Management Program,"Ron Turley Associates, Inc.",CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,05/20/2015,,
150197-CB,Fire Services Mutual Aid Analysis,Applied Analysis,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,05/20/2015,,
150201-TG,Leica Survey Equipment,H&S Survey Laser,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,05/20/2015,,
15.53809-TF,City Center Place Groundwater Discharge Improvements,MMC,BID FILES,,05/21/2015,,11/11/2015
15.53809-TF,City Center Place Groundwater Discharge Improvements,MMC,CONTRACTS AND AGREEMENTS - CAPITAL IMPROVEMENT,,05/21/2015,,11/11/2015
140211-TB,WPCF Training Program,"360Water, Inc.",CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,05/26/2015,,05/31/2020
150143-RH,Medical District Website Design,"Adlava, LLC",CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,05/26/2015,,
150170-RF,Mutual Use Contract for John Deere Skid Steer Loader,Blaine Equipment Co. Inc,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,05/26/2015,,
15.53541.03-TB,WPCF Reuse Transfer Pumps Station and Capacity Enhancements Project,"MMC, Inc.",BID FILES,,05/27/2015,,03/22/2016
15.53541.03-TB,WPCF Reuse Transfer Pumps Station and Capacity Enhancements Project,"MMC, Inc.",CONTRACTS AND AGREEMENTS - CAPITAL IMPROVEMENT,,05/27/2015,,03/22/2016
150182-TF,Blanket PSA for Special Inspections & Construction Svcs,Ninyo & Moore,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,05/27/2015,,04/01/2019
150185-CB,Outsourcing Services Agreement (Administrative Services for Patient Protection and Affordable Care Act),"UnifyHR, LLC",CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,06/03/2015,,06/02/2019
15.1762.03-JH,Sidewalk Vertical Deviation Mitigation,Precision Concrete Cutting,CONTRACTS AND AGREEMENTS - CAPITAL IMPROVEMENT,,06/04/2015,,
150119-TF,RFP for Flow Monitoring Services,ADS Environmental Services,BID FILES,,06/04/2015,,06/15/2020
150119-TF,RFP for Flow Monitoring Services,ADS Environmental Services,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,06/04/2015,,06/15/2020
150119-TF,RFP for Flow Monitoring Services,ADS Environmental Services,BID FILES,,06/04/2015,,06/15/2020
150204-JL,Online Legal Research Software,Thomson Reuters,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,06/09/2015,,06/30/2018
150141-RH,Medical District General Population Survey,Discover Research Nevada,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,06/11/2015,,
150142-RH,Medical District Medical Population Survey,Discover Research Nevada,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,06/11/2015,,
150193-RH,Maps Marker Pro Software Solutions,Maps Marker,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,06/16/2015,,06/16/2019
150209-TF,Consutant Services for Noise Assessmement,Behrens & Associates,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,06/16/2015,,
150180-RH,City Priorities Survey,Discover Research Nevada,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,06/18/2015,,09/30/2016
150205-RF,Maintenance Agreement on KIP 7170 Wide Format Printer,Professional Document Products,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,06/18/2015,,05/13/2017
150214-RF,FY 2016 IT Online Training Program,Skillsoft Corporation,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,06/18/2015,,
14.41990-TB,Rancho Road System Elkhorn-Fort Apache to Grand Canyon,"Tand, Inc.",CONTRACTS AND AGREEMENTS - CAPITAL IMPROVEMENT,,06/23/2015,,10/21/2015
14.41990-TB,Rancho Road System Elkhorn-Fort Apache to Grand Canyon,"Tand, Inc.",BID FILES,,06/23/2015,,10/21/2015
150168-TF,Downtown Master Plan Planning and Engagement Toolkit,Crowdbrite (Dinsmore Sierra LLC,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,06/23/2015,,
150145-TG,Traffic Sign Blanks,Safeway Sign Company,BID FILES,,06/30/2015,,06/30/2020
150145-TG,Traffic Sign Blanks,Safeway Sign Company,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,06/30/2015,,06/30/2020
150127-RH,Website Design Services,"Adlava, LLC",CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,07/01/2015,,
150210-DC,BSC for General Engineering Consulting Services,"Stanley Consultants, Inc.",CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,07/01/2015,,07/01/2019
150220-CB,Cloud Portfolio Management Software,Innotas,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,07/01/2015,,
150216-DC,BSC for General Engineering Consulting Services,"Parsons Brinckerhoff, Inc.",CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,07/07/2015,,07/07/2019
150208-DG,Traffic Signs,Safeway Signs,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,07/08/2015,,
150063-SK,National IPA for Water Treatment Chemicals,"Thatcher Company of Nevada, Inc.",CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,07/15/2015,,09/30/2020
150063-SK,National IPA for Water Treatment Chemicals,"Thatcher Company of Nevada, Inc.",BID FILES,,07/15/2015,,09/30/2020
150198-CB,New Market Tax Credit Legal Counsel Services,"Leverage Law Group, LLC",CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,07/15/2015,,06/30/2020
140201-RH-F,EDDI MSA-IPSS Software Integration Project,"Blue Flame Industries, Inc. dba Integrated Voice Solutions",CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,07/20/2015,,06/30/2020
150120-CB,RFP for Minimum Accounting Standards Audit,Eide Bailly LLP,BID FILES,,07/20/2015,,06/30/2019
150120-CB,RFP for Minimum Accounting Standards Audit,Eide Bailly LLP,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,07/20/2015,,06/30/2019
150218-DC,BSC for Special Inspection Consulting Services,"Kleinfelder, Inc.",CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,07/21/2015,,07/21/2019
150222-JH,RFQ for Professional Horticulture Services,Horticulture Consultants,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,07/21/2015,,
150163-TF,Downtown Nightlife and Business Licensing Study,Responsible Hospitality Institute,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,07/22/2015,,
150191-TB,PDSC for Multi-Modal Connection Between Downtown and Symphony Park,"CA Group, Inc.",CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,07/22/2015,,07/22/2019
150173-DG,Grainger NIPA Joinder,Grainger,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,07/27/2015,,12/15/2019
160021-SK,Minilab,Caltrol Inc.,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,07/27/2015,,
15.53541.06-TB,WPCF Digester 11 High Rate Nozzle Mixing Pilot,"MMC, Inc.",CONTRACTS AND AGREEMENTS - CAPITAL IMPROVEMENT,,07/28/2015,,12/25/2015
15.53541.06-TB,WPCF Digester 11 High Rate Nozzle Mixing Pilot,"MMC, Inc.",BID FILES,,07/28/2015,,12/25/2015
11.15341.16-EV-B,CMAR for WPCF Compressor Building and Receiving Area Upgrade,"Sletten Construction of Nevada, Inc.",CONTRACTS AND AGREEMENTS - CAPITAL IMPROVEMENT,,08/03/2015,,11/13/2016
150211-SK,ARC for Muffin Monster Parts,JWC Environmental LLC,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,08/03/2015,,07/31/2020
15.53541.05-TB,WPCF Flare Upgrades,"Sletten Construction of Nevada, Inc.",BID FILES,,08/05/2015,,07/31/2017
15.53541.05-TB,WPCF Flare Upgrades,"Sletten Construction of Nevada, Inc.",CONTRACTS AND AGREEMENTS - CAPITAL IMPROVEMENT,,08/05/2015,,07/31/2017
160001-CB,Analysis of City of Las Vegas Sports Leagues and Tournaments,Michael Goffinet,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,08/06/2015,,12/31/2016
160002-JL,Voxeo CXP and SAP Software,Integrated Voice Solutions,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,08/06/2015,,07/31/2019
150224-DC,BSC for Subsurface Utility Engineering Consulting Services,"Horrocks Engineers, Inc.",CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,08/10/2015,,08/10/2019
160029-DD,EMS Subsciption Agreement,"Physio Control, Inc.",CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,08/10/2015,,08/05/2016
140208-RH,RFP Desktop Printer Maintenance and Support,Les Olson Company,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,08/11/2015,,08/11/2020
140208-RH,RFP Desktop Printer Maintenance and Support,Les Olson Company,BID FILES,,08/11/2015,,08/11/2020
150203-DD,Mutual Use Contract for EMS Billing,Advanced Data Processing DBA Intermedix Corporation,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,08/11/2015,,08/01/2017
150164-JL,Mutual Use Contract for Drug Analysis and Forensic Toxicoloty,"Redwood Toxicology Laboratory, Inc",CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,08/18/2015,,09/30/2019
150187-SK,Diesel Powered Convention Cab Type Truck and  End Dump Trailer Combination,McCandless International Trucks,BID FILES,,08/19/2015,,12/31/2016
150187-SK,Diesel Powered Convention Cab Type Truck and  End Dump Trailer Combination,McCandless International Trucks,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,08/19/2015,,12/31/2016
160031-GL,Sentry Control Service Agreement,Sentry Control Systems,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,08/19/2015,,08/31/2020
15.54007-TB,Symphony Park-Parking Lot Grading,"MMC, Inc.",BID FILES,,08/20/2015,,
15.54007-TB,Symphony Park-Parking Lot Grading,"MMC, Inc.",CONTRACTS AND AGREEMENTS - CAPITAL IMPROVEMENT,,08/20/2015,,
160039-TF,Absorption Study Village 24 SID 812,RCG Economics,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,08/20/2015,,
160013-TF,BSC Mechanical Plumbing and Electricl Consulting Svcs,Precision Design Group,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,08/24/2015,,08/01/2020
160035-JH,PSA for Alta Drive / Rancho to Main Street,VTN Nevada,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,08/26/2015,,08/26/2019
14.53668-JH,Adobe Hut at Tule Springs,"Accelerated Construction, Inc.",BID FILES,,08/27/2015,,
14.53668-JH,Adobe Hut at Tule Springs,"Accelerated Construction, Inc.",CONTRACTS AND AGREEMENTS - CAPITAL IMPROVEMENT,,08/27/2015,,
150181-RF,Armored Transport Services,Sectran Security Inc.,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,08/27/2015,,08/01/2020
150181-RF,Armored Transport Services,Sectran Security Inc.,BID FILES,,08/27/2015,,08/01/2020
160014-TB,PSA for Downtown Interceptor Phase 2,"Carollo Engineers, Inc.",CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,08/27/2015,,
150217-CB,Occupational Health Services,"ARC Health and Wellness Centers, LLC",CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,08/31/2015,,06/30/2019
160012-TF,BSC Mechanical Plumbing and Electrical Consulting Services,TJK Consulting,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,08/31/2015,,08/01/2020
